User_Chat,Day_Condition,Weather_Condition
이렇게 정성 가득한 영상 오랜만에 봐요,,
오늘도 행복 충전 완료,,
이 채널은 진심으로 애정이 느껴짐,,
진짜 이렇게 꾸준히 해주셔서 감사합니다,,
기분 안 좋았는데 영상 보니까 풀림ㅠㅠ,,
이거 진짜임?,,
진짜 농부세요?,,
뭐하는 사람이세요?,,
뿡,,
로마TV 구독 좋아요 부탁드립니다~,,
포도티비 개쩐다 미친,,
레몬티비 개쩐다 미친,,
오렌지티비 개쩐다 미친,,
구아바티비 개쩐다 미친,,
우리 채널 보러오세요 대환영 송양커플~,,
다음 편 언제 나오나요??,,
여기 어디임?,,
촬영 혼자 하시는 거세요?,,
도시아니죠?,,
저도 이렇게 하려면 뭐부터 시작해야 할까요?,,
여기 세트장 아님? 왜캐 완벽해,,
영상에 나온 장소 어디인가요??,,
이 채널만 보면 시간 순삭됨ㅋㅋ,,
언제나 영상에서 따뜻함이 느껴져요,,
영상 보면서 웃음이 끊이질 않네요,,
"내 나이, 60. 이런, 곳, 에서, 살고프 네요",,
"후에, 이런 산좋고물 좋은 곳, 아내랑, 알콩달콩, 살랍니다",,
"사랑, 해요, 재밌어요,,,,",,
이 채널 알게 된 건 올해 최고의 발견,,
뭔가 마음이 편안해지는 채널이에요,,
하루 스트레스가 싹 풀리는 느낌,,
회사 생활의 스트레스가 풀린다…,,
이 영상은 그냥 예술작품임,,
정주행해야겠어요 이건,,
나만 이거 여러 번 돌려보는 거 아니지?,,
댓글도 다들 착해서 더 좋아요ㅠㅠ,,
이 채널은 알고리즘이 살렸어,,
와… 이 채널은 진짜 오래 갔으면,,
영상이 너무 짧게 느껴져요… 더 보고 싶다!,,
오랜만에 제대로 빠져드는 채널 발견,,
점점 더 퀄리티 올라가는 거 같아요,,
영상 보고 미소 지었다는 건 비밀~,,
이 채널 보면 자꾸 따라 해보고 싶어짐,,
진짜 현실 도피하는 기분ㅋㅋ,,
편안한데 지루하지 않은 게 진짜 대박,,
이런 콘텐츠 계속 해주세요ㅠㅠ,,
보고 있으면 시간 가는 줄 몰라요,,
이 채널 분위기 진짜 취향 저격!,,
영상 분위기 너무 좋고 감성 터진다,,
진짜 알람 켜놓고 기다리는 채널이에요,,
영상 볼 때마다 감탄밖에 안 나옴,,
너무 좋다… 계속해서 만들어주세요,,
여긴 댓글 창도 따뜻해서 좋네요,,
와… 오늘도 심장에 잔잔하게 스며드네,,
이 채널 보면 마음이 정화되는 느낌이에요,,
나 왜 이 영상 3번째 보는 거지ㅋㅋ,,
편집 너무 부드러워서 계속 보게 돼요,,
개노잼,,
이걸 보누,,
오 스무스한데~,,
힐링 미쳤다,,
영화 같음,,
영상마다 감성미가…,,
오늘 힐링 채웠다-!,,
매일 보고싶어요,,
혼자 보기 아까워요,,
감성 포인트가 확실해요,,
이 채널은 그냥 사랑입니다,,
이 정도면 팬카페 만들어야 하는 거 아님??,,
오늘도 내 힐링 포인트 완성!,,
무슨 영화 한 편 본 줄 알았어요,,
영상에서 나는 공기마저 따뜻한 느낌,,
나 이 영상에서 살래…,,
시간 순삭,,
순삭크,,
힐링 채널 인정…200%,,
진짜 미쳤다,,
분위기 도랐멘,,
센스 쩐닼,,
영상 보자마자 기분이 좋아졌어요,,
이거 웨 봄?,,
존노잼,,
개노잼,,
너무 잔잔해요ㅠ,,
닭들 모아다 전쟁 시킵시다,,
내가 더 잘할듯ㅋ,,
아 계속 보다보니 정듬,,
영상미 무슨일,,
마음이 포근해져요~,,
우리딸이 너무 좋아하는 채널~,,
와 개신기해,,
와 신기해,,
ㄹㅇ신기,,
개쩜,,
나도 귀농친다,,
농사 대박 나려면 어캐야함?,,
병아리 키우고 싶어요,,
회 떠먹고 싶당,,
아 배고파,,
님처럼 되려면 어캐해야해요?,,
혹시 감자도 키우나요?,,
내 친구랑 비슷하게 생겼당,,
개바쁘다 진심,,
농사 아무나 짓는거 아닌듯,,
님처럼 되고싶어요,,
안녕하세요 저는 선플달기 운동중인 선학초 3학년 1반 김무현입니다. 이 채널은…,,
안녕하세요 저는 선플달기 활동중인 연희초 2학년 2반 소이현입니다. 이 채널은…,,
안녕하세요 저는 도덕 시간 선플달기 운동중인 도리초 3학년 1반 이진수입니다. 이 채널은…,,
안녕하세요 저는 선플달기 운동중인 건악초 5학년 4반 현준입니다. 이 채널은…,,
안녕하세요 저는 선플달기 운동중인 건악초 3학년 4반 조민준입니다. 이 채널은…,,
영상 분위기 진짜 예술이에요,,
와우…,,
와 진짜 이게 힐링이지,,
헉 대박,,
이 영상 저장해두고 싶다,,
이게 진짜다,,
오 이건 진짜 물건인데요,,
와 이거 뭐야,,
또 보러 왔어요,,
미쳤다 이건,,
나 이 채널 정착할래요,,
이 채널은 진짜 감성 천재다,,
뭔가 울컥했어요… 고마워요,,
어쩜 매번 이렇게 따뜻할 수가 있지,,
찢었다,,
그저 빛,,
또 울 뻔했잖아요,,
이건 소장각,,
이 채널 진짜 소중해,,
소중해~,,
편안함이 묻어나는 영상,,
미쳤다 진심 너무 힐링됨,,
감사합니다 진짜루!,,
와…,,
진심 소름,,
헐ㅠㅠ,,
크으으…,,
미쳤다,,
이건 예술,,
뭐야 이거,,
진짜 미쳤음,,
찢었다,,
귀여워…,,
개좋아,,
그저 빛,,
심쿵…,,
진짜 감성 미쳤다,,
레전드,,
내 취향 저격,,
최고야,,
너무 예뻐,,
감동ㅠ,,
내 눈 정화됐다,,
아 진짜…,,
평화롭다..,,
으악 너무 좋아,,
평화로워,,
대박…,,
이게 바로 평화…,,
in a peace,,
세상에…,,
무한 반복 중…,,
퀄리티 뭐임,,
이게 진짜지,,
힐링 그 자체,,
오늘도 레전드,,
그만해… 내 심장 다 썼어,,
완벽 그 자체,,
갓생 살다가 잠깐 힐링함,,
숨멎…,,
아니 너무 완벽해서 짜증나네,,
진짜 사랑해요,,
감성 너무 넘쳐서 잠겼다,,
이걸 공짜로 봐도 되는 거냐,,
1000만 가자 ㄹㅇ,,
감동이 내 눈에서 터짐,,
크으 이건 저장각,,
와중에 감성까지 챙긴다고?,,
내 심장 어디갔죠?,,
뇌에서 도파민 쏟아지는 중,,
오늘도 마음이 정화됐어요…,,
호에 치유된다,,
이거 보면서 눈물 줄줄ㅠ,,
화면만 봐도 마음이 편해져요,,
나도 닭 키우고싶당,,
그래도 농부보다는 회사원이 훨씬 임금이 높지않나요?,,
농부 아무나 하는거 아님,,
낚시VS농부,,
안녕클레오파트라세상에서제일멋진포테이토칩,,
지친 하루에 큰 위로가 됐어요,,
그냥 숨 쉬듯이 보고 있음,,
매일 밤 자기 전에 정주행 중이에요,,
나도 저런 삶 살고 싶다,,
편안한 공기마저 느껴지는 기분,,
이런 소소한 행복… 너무 좋아요,,
나중에 우울할 때 또 보려고 저장해뒀어요,,
진짜 이거 보고 마음이 누그러졌음,,
오늘 영상은 약이었습니다,,
영상 보는 것만으로도 힐링된다,,
솔직히 뭐가 힐링이라는 건지 모르겠음,,
연출 너무 티 나서 감정 몰입 안 됨,,
음 노잼,,
뭔가 억지 감성 같아요,,
힐링이라 쓰고 노잼이라 읽는 듯,,
이런 거에 감동하는 사람들 이해 안 됨,,
텐션 너무 없고 답답해요,,
과몰입 댓글 너무 많아 좀 소름임,,
그냥 평범한 일상인데 왜 감동인 척함,,
계속 비슷한 패턴이라 질림,,
진심 공감 못하겠음,,
무슨 내용인지 모르겠는데 계속 떠요,,
갑자기 착한 사람이 되고 싶어졌음,,
이 영상 만든 사람… 천국 예약,,
"세상엔 이렇게 평화로운 채널도 있는데, 왜 내 일상은 전쟁일까",,
아니 누가 이렇게 말랑하게 만들래… 내 마음 버터됐잖아,,
힐링 당해서 멍 때리다 강제 엔딩 당함,,
와 채소가 다 땡기네,,
나 지금 영상 보면서 홍삼 먹은 줄… 에너지 충전됨,,
치즈 만들기 했던 기억 난당,,
이건 보고 나서 기분 좋아지면 무조건 선물 줘야 함,,
"이런 평화, 실존하나요? 안믿김",,
진짜… 이 영상 때문에 내 하루 다 흐뭇함,,
캬 여기 어디에요?,,
이 영상 보면 심장이 말랑해집니다 (주의사항 필수),,
시골인가,,
나도 이런 하루 보내고싶어..현실은 출근하지만..,,
힐링 수치 200%,,
나도 이렇게 살고 싶었는데…,,
아니 집에서 괜히 풀향이 나는거 같음,,
아 힐링된다,,
힐링 강제 주입!,,
나는 이 채널이 좋다,,
나도 이렇게 살고싶다,,
이렇게 살고싶어,,
흑흑ㅠㅠ넘 평화로워요,,
너무 좋다,,
이런 분위기 짱,,
저도 이런곳 가보고싶어요,,
여기 어디에요?,,
여기 어디입니까?,,
어떻게하면 농장주처럼 살 수 있죠?,,
아 나도 여기 가고싶어,,
평화…내면에 평화,,
평화….,,
여기서 살면 행복할 것 같아,,
여기서 살면 건강할 것 같아,,
여기서 살면은 뭐든 잘할 수 있을 거 같음,,
힐링됩니다,,
힐링 받고가요,,
힐링 받아요,,
힐링 받습니다. 고마워요,,
아 좋다,,
나무 기운 좋다,,
이런 분위기 굿,,
뭐가 재밌다는 거임?,,
이해가 안됨. 개노잼인데,,
영상이 푸릇푸릇해,,
영상이 푸르른 느낌..,,
이게 바로 자연인가,,
자연은 위대하구나,,
자연의 기운이다,,
아 진짜 이런 느낌 너무 좋아,,
아니 집 근처에 이런 장소가 있어,,
고양이 조하,,
강아지 조하,,
아이고 너무 귀엽네요,,
저도 부모님과 시골생활 하는데 너무 좋네요. 자꾸 보게 됩니다!,,
ㅎㅎ꿈에서 나올법한 영상잉요,,
정말 멋진 시골영상이에요,,
시골소리가 힐링.,,
시골소리다. 힐링,,
여긴 누오는데.,,
한편의 슬로우 무비 같네요,,
제 힐링 포인트의 집합체입니다.,,
볼때마다 감탄이 나옵니다.,,
리틀 포레스트 같아요,,
영화 한편 본 것 같아요,,
어쩜 영상이 이렇게 예쁜가요~,,
마음이 행복해졌어요~,,
감사합니다,,
!,,
진짜 이런 느낌 너무 좋아,,
소확행의 정석인 영상이다,,
언젠가 이런 잔잔한 시골에 가서 소소한 일상을 느끼고 싶습니다…,,
시골 영상 중에서 제일 좋습니다,,
보고만 있어도 심신이 안정되는 군요,,
영상이 풀룡해요,,
마음이 포근하고 따뜻해요,,
마음이 평온해짐을 느껴요,,
냥이는 사랑입니다,,
강쥐는 사랑입니다.,,
아 놀러가고 싶다,,
저도 이런 시골가서 살고싶어요,,
진짜 언제 봐도 힐링이어요~,,
시골 밥상 받아보고싶다,,
시골밥이 참맛인데,,
시골밥…맛잇겠다.,,
정말 사는 맛이 느껴지는 영상입니다,,
마음이 정화되는 느낌,,
애청자 등장~,,
정말 자연이 주는 풍요네요~,,
소소한 행복,,
와 한국에도 이런 영상이,,
평소에 야채를 손도 안 대는데..먹고잡네요,,
아름답고 풍성한 시골이네요~,,
와 진짜 이렇게 키워서 먹으면 너무 건강해지겠다,,
영상 기다렸어요~,,
이야호,,
정겹습니다~,,
우리 부모님 집도 저런데!,,
우리 할머니 보고싶네요~,,
할아버지는 잘 계실까,,
처음으로 댓글 써봅니다…너무 힐링되네요,,
댓글 처음 쓰는데…너무 좋아서 안 쓸수가 없었어요,,
시골사는 제가 봐도 너무 따뜻해요,,
시골 사는 제가 봐도 정말 정겨운 느낌,,
"퇴직 후, 우리의 로망적인 삶입니다.",,
남편이랑 이렇게 살고싶네요,,
아내랑 이렇게 살고싶네요,,
뭔가 시골 본가가 생가나는ㅎㅎㅎ,,
행복지는 마음~,,
영상을 참 잘 찍으시네요~,,
보고만 있어도 기분이 좋아지네요,,
리틀 포레스트 현실판,,
저도 나이들어 농장 가꾸며 영상 시작했는데..힐링되네요,,
힘 받고 갑니다,,
영상 예뻐용:),,
예뻐요:),,
아 이런곳에서 민박 해보고싶다!,,
감사히 잘 보고 갑니다~,,
정말 정겨운 생활이에요~,,
벌써 월요일이라니... 믿을 수 없어...,Mon,
오늘도 출근길 지옥열차 타고 왔어요!,Mon,
월요일 영상은 왠지 특히 더 힐링돼요ㅎㅎ,Mon,
월요일 아침부터 방송 보는 나는 진짜 찐팬ㅇㅈ?,Mon,
몸은 출근했지만 마음은 아직 일요일,Mon,
월요일을 없애는 법 누가 아나요?,Mon,
벌써 회의 3개 했어요... 월요일 돌려줘,Mon,
월요일인데도 텐션 좋은 거 뭐냐구요ㅋㅋ,Mon,
덕분에 월요일이 조금은 괜찮아요~,Mon,
커피 한 잔+방송=월요일 생존 공식,Mon,
이제 진짜 한 주가 시작된 느낌...,Tue,
화요일인데 벌써 지친 건 왜죠?,Tue,
화요일 수업이 제일 많아요… 방송 보면서 멘탈잡는 중,Tue,
상사가 오늘따라 더 날카로워요... 화요일인데 왜죠?,Tue,
오늘도 방송으로 시작! 화요일도 힘내요~,Tue,
화요일이지만 정신은 아직 주말,Tue,
화요일도 하루가 가긴 가네요ㅋㅋ,Tue,
정신은 출근했는데 몸은 침대에 두고 옴,Tue,
하루가 너무 길다… 화요일 맞죠?,Tue,
내가 벌써 화요일까지 일했다는 게 ㄹㅈㄷ,Tue,
드디어 수요일이네요… 절반 왔어요!,Wed,
수요일은 진짜 애매하지만 그래도 반이나 왔다는 희망..,Wed,
수요일인데 벌써 탈진 직전 아오,Wed,
수요일 저녁은 방송 보며 리셋하는 날인듯..,Wed,
수요일은 진짜 애매한 요일,Wed,
이제 이틀만 더 버티면 주말이다… 제발…,Wed,
수요일엔 묘하게 정신력이 많이 필요해…,Wed,
수요일엔 회의가 두 배예요ㅠㅠ 방송 보며 버티는 중,Wed,
수다날 맛있당,Wed,
아 이제야 수요일,Wed,
드디어 목요일이네요… 조금만 더 버티면 주말!,Thu,
이제 하루만 더 참으면 되는 거죠? 제발ㅠㅠ,Thu,
몸은 지쳤지만 마음은 금요일 바라보는 중,Thu,
내 심장은 금요일인데 세상은 목요일이래,Thu,
다들 목요일까지 수고 많았어요!,Thu,
주말 코앞이긴한데..아 아닌거 같기도 하고…아…,Thu,
오늘 금요일인줄 알았더니 목요일이네 아오,Thu,
아 목요일이 제일 지쳐,Thu,
월~수까지 버티니 체력 경고등 켜졌음,Thu,
버티자버티자버티자,Thu,
금요일이라니…행복해ㅠㅠ,Fri,
응 불금 달려~,Fri,
일주일이 너무 길었다… 하지만 오늘은 해방!,Fri,
"금요일, 내일은 아무 일도 안 할 거예요!!!",Fri,
ㅎㅎ방송보면서 야식 먹을꺼에용,Fri,
금요일인데 야근시키는거 실화냐,Fri,
금요일 오후는 진짜 정신력싸움임,Fri,
아 금요일 행복해 세상에,Fri,
퇴근하면 지난 방송보면서 맥주까야겠어요:),Fri,
클럽갈것,Fri,
"주말, 완전 쉬는 날! 오늘은 아무 것도 안 할 거예요",Sat,
아 누워서 하루종일 방송보기..최고다,Sat,
하... 드디어 토요일! 이제 아무 일도 안 할 거예요,Sat,
토요일..행복해..,Sat,
ㅎㅎ이따 치킨 시켜서 방송 다시보기 할 꺼에요,Sat,
아싸 오늘 쉬는날,Sat,
토요일 최고된다,Sat,
토요일 최고심,Sat,
오늘은 쉬는날~~,Sat,
방송보면서 쉬기만 하니까 너무 좋아ㅠㅠ,Sat,
주말이 너무 빨리 가서 아쉬워…,Sun,
아 내일 왜 월요일,Sun,
아 주말 간다고 생각하니까 너무 슬퍼..,Sun,
일요일 최고다,Sun,
역시 주말이 짱임,Sun,
"일요일, 오늘은 딱히 할 계획도 없고 방송볼꺼에용ㅎ",Sun,
일요일 아침은 역시 라면이지,Sun,
내일 진심 왜 월요일이냐..,Sun,
일요일 너무 좋아,Sun,
매일 주말이어라…,Sun,
비 소리 듣는 거 너무 좋아. 완전 힐링되는 느낌,,Rain
아니 비오는 날도 일하세요?,,Rain
비오는데 대단하다,,Rain
비오면 안찝찝하시나요?,,Rain
비오는데 일하네ㄷㄷ,,Rain
역시 농부는 강하다는건가…,,Rain
비 오는 날에는 집에 있어야 하는데..,,Rain
이야 나는 비온다고 집에만 있는데…,,Rain
빗소리 힐링,,Rain
비오는거 낭만이다~,,Rain
"비가 내리는 시골, 예뻐",,Rain
비 엄청 많이 온당,,Rain
춥지는 않으신가요? 비 오는데,,Rain
비 오는것마저 힐링임ㅋ,,Rain
비오는 날에는 쉬시는게 어떤지?,,Rain
와 낭만있어,,Rain
시골이라 그런가 비오는데도 운치가 있음,,Rain
비ㄷㄷㄷ,,Rain
비오네,,Rain
아 이런 날에는 막걸리에 파전 때려야함,,Rain
눈 내리는 풍경이 너무 예쁘다. 마치 동화 속에 있는 느낌?,,Snow
눈 오는 날엔 뭔가 기분이 평화로워짐,,Snow
와 눈 내리는거 힐링됨,,Snow
눈 오는 날에는 핫초코지~,,Snow
아 이런 날은 이불콕인데,,Snow
눈 오는 날에는 무조건 집콕해줘야 하는데!!,,Snow
아니 주인장 눈오는데도 일하네,,Snow
주인장 눈오는뎁쇼,,Snow
와 눈 온다,,Snow
눈 너무 많이 내리는거 아님?,,Snow
눈 오는 날은 운치가 더 좋아,,Snow
눈이 내리는 풍경을 보니 우리 할머니 생각난다…,,Snow
우리 시골집도 눈오면 날 가면 이런 풍경이려나,,Snow
눈 오는날 듣기 좋은 음악 추천해주세요,,Snow
눈 겁나 이쁘네,,Snow
하늘에서 내리는 쓰레기,,Snow
와 저거 다 얼면은 겁나 미끄러울듯,,Snow
눈 내리는거 너무 낭만있다ㅠㅠ,,Snow
와 눈 계속 내리네,,Snow
눈 내리는 날 너무 조하,,Snow
바람이 살랑살랑 부네~,,Wind
와 바람 불어서 나뭇잎 흔들리는거 너무 좋아,,Wind
오늘 시원한가요?,,Wind
바람 조하,,Wind
오늘은 바람이 불어서 일하기 참 좋은 날 같네요,,Wind
야외활동하기 좋을 것 같아요.,,Wind
바람 때문에 춥지는 않으신가요?,,Wind
바람이 부니까 오늘은 실내 데이트 해야지.,,Wind
이런날 런닝하면 땀 빨리 말라서 좋음,,Wind
오늘 바람 쎈가요?,,Wind
바람 조하,,Wind
오늘 날씨처럼 남친이 바람폈어요.,,Wind
바람이 불면 작물이 좋아하나요?,,Wind
오 바람 시원해보인다.,,Wind
바람 부는 날에는~맥주!!!!!,,Wind
나두 바람 쐬러 나갈까,,Wind
바람 좀 쐬러 나가고 싶당,,Wind
바람 한 점 안통하는 회사에 갇혀…,,Wind
와 뭔가 영상만으로도 상쾌해보여,,Wind
오 나무가지 바람에 흔들린다,,Wind
와 햇살 미쳤다,,Sunny
공기가 너무 맑고 좋아보여요~,,Sunny
오늘 날씨 진짜 맑다,,Sunny
이런 날은 야외활동이지,,Sunny
와 오늘 날씨 무슨일이야:),,Sunny
이런날은 피크닉 가야하는데,,Sunny
이렇게 햇살 좋은 날은 그냥 쉬시지!!,,Sunny
날씨가 너무 좋아서 제 마음도 절로 평화로워지네요~,,Sunny
햇살 따사롭당,,Sunny
와 진짜 좋아보여…,,Sunny
햇살 내리쬐는 시골마을..최고다,,Sunny
오늘 날씨 정말 좋네요,,Sunny
오늘 정말 화창하네요,,Sunny
이런날은 진짜 자연과 함께하고 싶음ㄹㅇ,,Sunny
와 오늘 날씨 짱,,Sunny
정말 날씨 좋다,,Sunny
해가 쨍쨍한게 오늘 빨래 널어야지,,Sunny
햇살 무슨일이야~,,Sunny
아 이런날은 진짜 공원에서 낮잠 갈겨줘야함,,Sunny
날씨 좋고 공기 맑고…시골 최고네요,,Sunny
The crops are growing so fast!,,
I love seeing the farm come to life,,
I love this farm,,
It’s a perfect day for farming.,,
Love this channel!!,,
"hello my name is Miranda, and I am your big fan",,
The harvest is looking good!,,
The animals are so cute!,,
I’m excited for today’s harvest!,,
What a wonderful farm!,,
Slay~,,
I SWG. This farm is best!,,
I really stan this farm,,
I really stan this channel,,
The farm looks great today!,,
where is it?,,
OMG I Loooooove it!!!!!!!!!!!!,,
he farm looks great today!,,
I can't believe how fast they’re growing!,,
perfect farm,,
Looooove this farm!!!!,,
This is EVERYTHING!!,,
OMG!! This weather is PERFECT for farming!,,
Aaaaah!! The plants are so happy!!,,
Look at the farm!!,,
Looove this vibe!,,
WOW!! This farm is looking SO beautiful today!,,
This farm is a DREAM!! It’s so beautiful!,,
"Wow, I’m literally in awe of how beautiful it looks!!",,
OMG,,
This is sick as hell!!!,,
This farm is lit,,
Wow that's fire,,
This is super hype!,,
This is hype!,,
I love cute animals!!!,,
This farm is giving me life! It’s SO beautiful!!,,
I wanna go there,,
I wanna look around this farm,,
very cute!!!!,,
SO CUTE!!!!!!,,
This is the prettiest farm EVER!! I’m obsessed!,,
WOW,,
What a nice,,
Literally the prettiest sight ever!!,,
Everything looks PERFECT,,
this farm is like a work of art!!,,
how much is it?,,
Oh my dream farm!!!,,
It's looking so goooooood!!!!,,
